,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
200,2918765,https://www.airbnb.com/rooms/2918765,20250319150644,2025-03-21,city scrape,Cuarto en Lomas Virreyes con vista a Chapultepec,"Main Room with own bathroom; the apartment is on the 6th floor with views of Chapultepec and one block from the park; it has 170m2, 2 Rooms, 2 Bathrooms, Indoor/outdoor terrace with balcony, as well as a bright and very spacious living and dining room that has a great green view. Large equipped kitchen and TV room. You can go for a walk or exercise in the park; walking from shops/services, Lomas corporate, Embassies and INPER corporations. Fast-track access to the city","Quiet neighborhood, safe and without much noise; very close to the Torre Virreyes, INPER, embassies, the corporations of Ferrocarril de Cuernavaca and Periférico; ideal for both work and leisure travel or long stays; the area has all kinds of services such as one block and with restaurants and supermarkets on the corner.",https://a0.muscache.com/pictures/28fa6ac0-b2e2-41bc-9327-49526624b079.jpg,14905408,https://www.airbnb.com/users/show/14905408,Martin,2014-04-29,"Mexico City, Mexico","Chilango born & raised. I´m a sports & music enthusiast. I like to travel most of my free time; whenever I can, I´m out for the weekends for a cool getaway. Very fond of the collaborative economies & trying to take care of the environment. I love all kinds of food & cultures, as well as meeting new people; also very much into art, design, architecture & cooking",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/0c8cb2b7-b2d7-449e-88ed-e02ac7a345df.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0c8cb2b7-b2d7-449e-88ed-e02ac7a345df.jpg?aki_policy=profile_x_medium,,2.0,3.0,"['email', 'phone']",t,t,"Mexico City, DF, Mexico",Miguel Hidalgo,,19.42297,-99.20626,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Wine glasses"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Pets allowed"", ""Rice maker"", ""Paid parking off premises"", ""Smart lock"", ""Extra pillows and blankets"", ""Self check-in"", ""Wifi"", ""Elevator"", ""55 inch HDTV with Amazon Prime Video, Netflix, standard cable"", ""Toaster"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Kitchen"", ""Cleaning available during stay"", ""Outdoor furniture"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Park view"", ""Free street parking"", ""Paid parking on premises"", ""Body soap"", ""Safe"", ""Ethernet connection"", ""Hot water kettle"", ""Mountain view"", ""Stove"", ""Refrigerator"", ""Private patio or balcony"", ""Dedicated workspace"", ""Laundromat nearby"", ""Blender"", ""Oven"", ""Coffee maker"", ""Long term stays allowed"", ""Dishes and silverware"", ""Essentials"", ""Coffee"", ""Single level home""]",$827.00,10,1125,10,10,1125,1125,10.0,1125.0,,t,30,60,90,365,2025-03-21,15,0,0,286,0,0,0.0,2019-09-13,2023-01-30,4.8,4.8,4.93,4.93,5.0,5.0,4.87,,f,2,0,2,0,0.22
400,6041044,https://www.airbnb.com/rooms/6041044,20250319150644,2025-03-20,city scrape,Luxury stylish townhouse  with pool and jacuzzi,"This stylish town-home, on a quiet street, only two blocks from The Angel on Reforma Avenue, has high-end luxury finishes throughout. The central location is perfect for exploring  Polanco, Roma, Zona Rosa, which are only a short walk away.  There are three bedrooms each with an en-suite bathroom.<br /><br />You can chill on the roof-top terrace with views to Reforma Avenue where you can enjoy the hot-tub.<br /><br />Enjoy the  private spa, including 1 massage for guest and use of private pool and steam room.","Perfect location in a central area of mexico city surrounding by great bars, restaurants and museums",https://a0.muscache.com/pictures/miso/Hosting-6041044/original/afcb3c1b-19f4-4d5f-b17e-557fd1552d96.jpeg,7529413,https://www.airbnb.com/users/show/7529413,Andrew,2013-07-16,"Barcelona, Spain",British guy living in Mexico City. Semi-retired now. ,within an hour,100%,92%,f,https://a0.muscache.com/im/users/7529413/profile_pic/1374088097/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7529413/profile_pic/1374088097/original.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.42898,-99.16885,Entire townhouse,Entire home/apt,6,5.5,5.5 baths,3.0,3.0,"[""Wine glasses"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Free washer \u2013 In building"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Dishwasher"", ""Baking sheet"", ""Electrolux refrigerator"", ""Toaster"", ""Exercise equipment: yoga mat"", ""Fire extinguisher"", ""Kitchen"", ""Outdoor furniture"", ""Breakfast"", ""Sauna"", ""Luggage dropoff allowed"", ""Hot water"", ""Iron"", ""Room-darkening shades"", ""Miele induction stove"", ""Dining table"", ""75 inch HDTV with Apple TV"", ""Clothing storage: closet"", ""Fast wifi \u2013 213 Mbps"", ""Cleaning products"", ""Body soap"", ""Fire pit"", ""Safe"", ""Ethernet connection"", ""Hot water kettle"", ""City skyline view"", ""Shampoo"", ""Shower gel"", ""Freezer"", ""Private patio or balcony"", ""Bathtub"", ""Outdoor dining area"", ""Dedicated workspace"", ""Exterior security cameras on property"", ""Private hot tub"", ""Shared indoor pool - available all year, open specific hours, heated, pool cover"", ""Blender"", ""Conditioner"", ""Miele oven"", ""Carbon monoxide alarm"", ""Bluetooth sound system"", ""Dishes and silverware"", ""Coffee maker: espresso machine"", ""Essentials"", ""Bed linens"", ""Barbecue utensils"", ""BBQ grill"", ""First aid kit"", ""Free dryer \u2013 In building""]","$10,800.00",2,365,2,2,365,365,2.0,365.0,,t,3,15,40,312,2025-03-20,15,4,0,234,4,24,259200.0,2023-01-04,2025-01-02,4.8,4.8,4.67,5.0,5.0,4.87,4.6,,f,1,1,0,0,0.56
600,8033423,https://www.airbnb.com/rooms/8033423,20250319150644,2025-03-20,city scrape,DEPARTAMENTO LOFT EN LA CONDESA!!,"The loft is perfect for those who want to live in the best area of Mexico, it is minimalist, modern, perfect for one person or a couple, it has all the cleaning and maintenance services included. Welcome!","La Condesa is the best area in Mexico, with restaurants, bars, super bars, market, shops, all at a short distance.",https://a0.muscache.com/pictures/102376907/bdcc4a8a_original.jpg,19413780,https://www.airbnb.com/users/show/19413780,Melissa,2014-08-03,"Mexico City, Mexico","Soy mexicana, yo vivía en este Loft antes de casarme y me encanta tenerlo a la renta y que se sientan como en casa.",within an hour,88%,100%,f,https://a0.muscache.com/im/pictures/user/db029d14-bdff-4a02-bc0c-0b400b308532.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/db029d14-bdff-4a02-bc0c-0b400b308532.jpg?aki_policy=profile_x_medium,,1.0,4.0,"['email', 'phone']",t,t,"Mexico City, D.F., Mexico",Cuauhtémoc,,19.41602,-99.17821,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Hangers"", ""Cooking basics"", ""Microwave"", ""Free parking on premises"", ""Gym"", ""Host greets you"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Fire extinguisher"", ""Kitchen"", ""Luggage dropoff allowed"", ""Hot water"", ""Patio or balcony"", ""Ski-in/Ski-out"", ""TV with standard cable"", ""Shampoo"", ""Washer"", ""Stove"", ""Refrigerator"", ""Oven"", ""Coffee maker"", ""Long term stays allowed"", ""Dryer"", ""Dishes and silverware"", ""Essentials"", ""BBQ grill"", ""Shared pool""]","$3,257.00",7,1125,7,7,1125,1125,7.0,1125.0,,t,11,12,30,277,2025-03-20,23,2,0,199,1,28,91196.0,2016-01-31,2025-02-13,4.61,4.61,4.57,4.5,4.55,4.59,4.5,,t,1,1,0,0,0.21
800,10232365,https://www.airbnb.com/rooms/10232365,20250319150644,2025-03-21,city scrape,Departamento Completo  COAPA SUR -CAFETALES- CDMX,"Full apartment with 3 bedrooms, the main one with interior bathroom and 2 share bathroom, living room with cable TV, kitchen and dining room, parking, internet, 24 hour surveillance, southern area Cafetales almost bone size. On the 4th level, very well lit and quiet. All amenities and ready for you to enjoy. Excellent location and easy to go to any part of the CDMX","Residential area, property with 2 buildings, very safe. Near the Metrobus station ""Calzada del Hueso""",https://a0.muscache.com/pictures/838fb6c1-f468-493a-b24d-e1bc5e0ee0cb.jpg,48717020,https://www.airbnb.com/users/show/48717020,Hostales Del Sur,2015-11-10,"Mexico City, Mexico",Ser anfitrión me da el placer de conocer y ayudar a mucha gente.,within a few hours,74%,49%,f,https://a0.muscache.com/im/pictures/user/b8d83826-32fd-440f-b494-27550b57b8e2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b8d83826-32fd-440f-b494-27550b57b8e2.jpg?aki_policy=profile_x_medium,Coapa,17.0,22.0,"['email', 'phone']",t,t,"Mexico City, Distrito Federal, Mexico",Tlalpan,,19.29895,-99.1128,Entire condo,Entire home/apt,5,2.0,2 baths,3.0,3.0,"[""Wifi"", ""Host greets you"", ""Free carport on premises \u2013 1 space"", ""Hangers"", ""TV with standard cable"", ""Fire extinguisher"", ""Carbon monoxide alarm"", ""Kitchen"", ""Long term stays allowed"", ""Shampoo"", ""Essentials"", ""Luggage dropoff allowed"", ""Hot water"", ""First aid kit"", ""Iron""]",$680.00,2,31,2,2,31,31,2.0,31.0,,t,0,19,49,49,2025-03-21,13,0,0,49,0,0,0.0,2022-03-11,2023-07-22,4.62,4.69,4.62,4.85,4.85,4.85,4.54,,f,16,6,10,0,0.35
1000,13388026,https://www.airbnb.com/rooms/13388026,20250319150644,2025-03-21,city scrape,Recently renovated suite: cosy and ultra funtional,"Central and residential neighborhood, safe and quiet. You will love this cozy space with all the comforts to make you feel at home","If you care about beeing in a safe and residential neiborhood, this is the perfect option, la ""Colonia del Valle"" is well known for their good enviroment and the great location, you have a great conectivity with all the city.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTMzODgwMjY%3D/original/6838a283-98c3-410a-8039-47c8263878df.jpeg,35577516,https://www.airbnb.com/users/show/35577516,Diana,2015-06-11,"Mexico City, Mexico","Ricardo and I have been together for 19 years, we've been married for a bit over 7 years and we're still on our honey moon!! Ricardo is a banker, but his real passion is cycling, and I work for a PR agency and really love to travel.

When we travel, we try our best to get to know our destination and make the most out of the time we'll enjoy it, as well as taking in as much culture and food as we can possibly manage!!",within a day,100%,84%,f,https://a0.muscache.com/im/pictures/user/User-35577516/original/665c329f-1185-4561-9081-1882403e938e.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-35577516/original/665c329f-1185-4561-9081-1882403e938e.jpeg?aki_policy=profile_x_medium,Tlacoquemecatl,1.0,1.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Benito Juárez,,19.3734,-99.17427,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,1.0,2.0,"[""Wine glasses"", ""Hangers"", ""Free parking on premises"", ""Microwave"", ""Mini fridge"", ""Wifi"", ""Elevator"", ""Clothing storage"", ""Kitchen"", ""Hot water"", ""Cleaning products"", ""Body soap"", ""TV with standard cable"", ""Shampoo"", ""Shower gel"", ""Refrigerator"", ""Dedicated workspace"", ""Coffee maker"", ""Conditioner"", ""Essentials"", ""Bed linens""]",$765.00,3,60,1,3,60,60,3.0,60.0,,t,23,53,82,167,2025-03-21,14,8,2,167,5,48,36720.0,2016-07-11,2025-03-05,4.86,4.93,5.0,5.0,5.0,5.0,4.92,,f,1,1,0,0,0.13
1200,14690184,https://www.airbnb.com/rooms/14690184,20250319150644,2025-03-21,city scrape,Excelente habitación muy cerca del WTC,"Places of interest: World Trade Center, Polyforum Siqueiros, Parks, Avenida de los Insurgentes, Restaurates with all kinds of food, Cines, Commercial Plazas, Football Stadium, Plaza de Toros. You will love my place because of the cozy space, the views, the friendliness of the rest of the inhabitants, the ease of transportation.. My accommodation is good for adventurers and business travelers.",,https://a0.muscache.com/pictures/d531b66e-5ded-4e3e-8bee-eb8fbe26a32b.jpg,91343490,https://www.airbnb.com/users/show/91343490,Salvador,2016-08-22,"Mexico City, Mexico",,,,,f,https://a0.muscache.com/im/pictures/user/d31766f9-d900-4174-85dd-7bb47accc741.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d31766f9-d900-4174-85dd-7bb47accc741.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,f,,Benito Juárez,,19.39117,-99.17081,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Wifi"", ""Elevator"", ""Hangers"", ""Lock on bedroom door"", ""Fire extinguisher"", ""Kitchen"", ""Breakfast"", ""Essentials"", ""Smoking allowed"", ""First aid kit"", ""TV"", ""Iron""]",$595.00,3,3,3,3,3,3,3.0,3.0,,t,23,53,83,358,2025-03-21,0,0,0,279,0,0,0.0,,,,,,,,,,,f,1,0,1,0,
1400,15599473,https://www.airbnb.com/rooms/15599473,20250319150644,2025-03-20,previous scrape,Perfectly located 2bd apt in Condesa Parque México,"This 2bd-1bth appartment is located in the heart of Mexico City, in one of the hippest neighbourhoods. Everything you need is just blocks away. And it's across the street from one of the best parks in town: notorious Parque México.<br />High ceilings, very illuminated and eccentrically built in this century old, two-story historic building (no earthquake-damaged whatsoever).<br />Ready to move in, it's equipped with everything you need to just come in and start living your mexican experience.","One of the best neihborhoods in Mexico City, Condesa is where the magic happens. You'll find cafe's, bars, clubs, nice (and not so nice) restaurants, boutiques, convenience stores, supermarkets, drug stores, all within two blocks away!<br />The best place to have long walks and sightseeings.",https://a0.muscache.com/pictures/miso/Hosting-15599473/original/d34db686-1056-4f11-bc51-3b3094a53a42.jpeg,54642622,https://www.airbnb.com/users/show/54642622,Jorge,2016-01-14,"Mexico City, Mexico",,,,,f,https://a0.muscache.com/im/pictures/user/97538c84-3440-4d59-af61-9a363f970b67.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/97538c84-3440-4d59-af61-9a363f970b67.jpg?aki_policy=profile_x_medium,,1.0,1.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.410406,-99.16954,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,"[""Wifi"", ""Park view"", ""Hair dryer"", ""Paid parking on premises"", ""Pets allowed"", ""Kitchen"", ""Smoking allowed"", ""First aid kit"", ""TV"", ""Iron"", ""Smoke alarm""]",,30,120,30,30,120,120,30.0,120.0,,t,0,0,0,0,2025-03-20,0,0,0,0,0,0,,,,,,,,,,,,f,1,1,0,0,
1600,16735205,https://www.airbnb.com/rooms/16735205,20250319150644,2025-03-21,city scrape,Hermosa habitacion en Narvarte cerca Metro Eugenia,"Room with king size bed, armchair, closet, private bathroom. WIFI. Close to Eugenia metro,",,https://a0.muscache.com/pictures/32822890-7e1b-4120-be4b-346ef04d2d0a.jpg,23141017,https://www.airbnb.com/users/show/23141017,Lilia,2014-10-30,,"Soy abuela de dos hermosas niñas, me gusta cocinar, ver series, disfruto una buena comida con mi familia",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/User-23141017/original/b037229d-845b-40b6-ad75-c2d17a848aca.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-23141017/original/b037229d-845b-40b6-ad75-c2d17a848aca.jpeg?aki_policy=profile_x_medium,Vertiz Narvarte,2.0,4.0,"['email', 'phone']",t,t,,Benito Juárez,,19.38273,-99.15525,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Wifi"", ""Hangers"", ""Cooking basics"", ""Lock on bedroom door"", ""Kitchen"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Backyard"", ""Essentials"", ""Bed linens"", ""Smoking allowed"", ""Refrigerator"", ""Hot water"", ""Host greets you""]",$276.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,28,44,57,332,2025-03-21,105,6,0,253,6,36,9936.0,2017-01-26,2025-01-24,4.87,4.86,4.83,4.95,4.93,4.9,4.82,,t,2,0,2,0,1.06
1800,17807787,https://www.airbnb.com/rooms/17807787,20250319150644,2025-03-22,city scrape,Lotería en el Centro Histórico,"The apartment is located inside a remodeled building with avant-garde architecture. It has a rooftop with a spectacular view, gym,  Wi-Fi.<br />The apartment is very comfortable and the decor is with very Mexican elements, based on the famous lottery game.<br />The apartment is two blocks from Plaza de Santo Domingo in the heart of the Historic Center, very close to the Zocalo. It has lots of light and is located on the first floor. It has an elevator and 24/7 surveillance.","The building is steps from Plaza de Santo Domingo, it was named Plaza de Santo Domingo during the 16th century, where the church and convent of the same name were built, in front of the portals of the therapists where you write them, there is a fountain with the statue of Josefa Ortiz de Domínguez.",https://a0.muscache.com/pictures/bd40a94a-e7d7-4adc-be8e-23393ea3118a.jpg,123924423,https://www.airbnb.com/users/show/123924423,Fernanda,2017-04-02,"Mexico City, Mexico","I like to make people feel at home, and take care of every detail to accomplish it. I am open to new suggestions that will help improve the quality of my service as a host.
I am married and have fraternal twins who are my primary judges and a very important inspiration to be better every day.",,,,f,https://a0.muscache.com/im/pictures/user/bfb366be-8b19-4f68-a593-6e898bb80c13.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bfb366be-8b19-4f68-a593-6e898bb80c13.jpg?aki_policy=profile_x_medium,,4.0,9.0,"['email', 'phone']",t,t,"Mexico City, Ciudad de México, Mexico",Cuauhtémoc,,19.43896,-99.13614,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Wine glasses"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Dejamos una botella peque\u00f1a de acondicionador de cortes\u00eda  conditioner"", ""Cooking basics"", ""Gym"", ""Paid washer \u2013 In building"", ""Mini fridge"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""Stainless steel oven"", ""Kitchen"", ""Outdoor furniture"", ""Shared patio or balcony"", ""Paid dryer \u2013 In building"", ""Luggage dropoff allowed"", ""Hot water"", ""Iron"", ""Building staff"", ""Dining table"", ""Clothing storage: closet"", ""Stove"", ""Dejamos una botella peque\u00f1a de shampoo de cortes\u00eda shampoo"", ""Blender"", ""Dejamos una peque\u00f1a barra de jab\u00f3n de cortes\u00eda  body soap"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""TV""]",$645.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2025-03-22,200,18,1,0,24,108,69660.0,2017-04-09,2025-02-27,4.79,4.81,4.73,4.88,4.9,4.63,4.76,,t,4,4,0,0,2.07
2000,19386816,https://www.airbnb.com/rooms/19386816,20250319150644,2025-03-22,city scrape,MODERNO DEPARTAMENTO EN EL CORAZÓN DE POLANCO,"This newly remodeled apartment has 3 bedrooms and 2 full bathrooms, 24 hour doorman, is located in a perfectly safe neighborhood and is decorated with minimalist furniture as well as several works of art.","The neighborhood is very safe. Furthermore, it's full of art, restaurants, bars and people are very friendly. España park, the most illuminated in the area, is two blocks away.",https://a0.muscache.com/pictures/422ad330-2197-4c86-b56b-c554535e6e83.jpg,14539706,https://www.airbnb.com/users/show/14539706,Joaquin,2014-04-21,"Mexico City, Mexico","Male, International Manager, non-smoker, gets up early M-F to go to the gym and has a steady work-week, out the door by 7.30am. After work will come home and chill out, nothing fancy. At least once a month traveling internationally but when home typically spends time with family. Very clean, respectful and down to earth.",within an hour,100%,100%,f,https://a0.muscache.com/im/users/14539706/profile_pic/1430794465/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/14539706/profile_pic/1430794465/original.jpg?aki_policy=profile_x_medium,Polanco,1.0,1.0,"['email', 'phone', 'work_email']",t,t,"Mexico City, Ciudad de México, Mexico",Miguel Hidalgo,,19.43283,-99.18897,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,4.0,"[""Clothing storage: closet, wardrobe, and dresser"", ""Wine glasses"", ""Free washer \u2013 In unit"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Cooking basics"", ""Pets allowed"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Self check-in"", ""Smoke alarm"", ""Wifi"", ""Elevator"", ""HDTV with Netflix, premium cable"", ""Loreal body soap"", ""Fire extinguisher"", ""Kitchen"", ""Window guards"", ""Luggage dropoff allowed"", ""Hot water"", ""Private backyard \u2013 Not fully fenced"", ""Babysitter recommendations"", ""Books and reading material"", ""Iron"", ""Room-darkening shades"", ""Dining table"", ""Building staff"", ""Cleaning products"", ""Safe"", ""Free dryer \u2013 In unit"", ""Ethernet connection"", ""City skyline view"", ""Hot water kettle"", ""Shampoo"", ""Shower gel"", ""Refrigerator"", ""Freezer"", ""Private patio or balcony"", ""Dedicated workspace"", ""Laundromat nearby"", ""Blender"", ""Oven"", ""Coffee maker"", ""Single level home"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware"", ""Whirlpool gas stove"", ""Essentials"", ""Bed linens"", ""Portable fans"", ""First aid kit"", ""Heating""]","$1,371.00",1,1125,1,1,1125,1125,1.0,1125.0,,t,2,15,33,260,2025-03-22,562,82,13,180,77,255,349605.0,2017-06-21,2025-03-18,4.76,4.81,4.78,4.86,4.86,4.92,4.79,,t,1,1,0,0,5.95
